Alternatives,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
A21,0.5789473684210527,0.19999999999999996,0.9985126425384234,0.6666666666666666,0.0625,0.125,0.125,0.20833333333333334,0.0004959087527894868,1.0,0.6666666666666666,0.9672077389736022
A22,0.5555555555555556,0.1333333333333333,0.9985126425384234,0.5833333333333334,0.0625,0.125,0.0625,0.20833333333333334,0.0004959087527894868,0.75,0.6666666666666666,0.9786850303328415
A23,0.7321637426900585,0.4666666666666667,0.9980168567178979,0.5,0.125,0.125,0.125,0.5416666666666666,0.0004959087527894868,1.0,0.6666666666666666,0.9442531562551237
A24,0.7719298245614035,0.6,0.9980168567178979,0.4166666666666667,0.0625,0.0625,0.0625,0.3333333333333333,0.0004959087527894868,1.0,0.6666666666666666,0.9475323823577636
A25,0.8362573099415205,0.7333333333333334,0.9980168567178979,0.3333333333333333,0.0625,0.03125,0.0625,0.3333333333333333,0.0004959087527894868,0.75,0.6666666666666666,0.970486965076242
A26,0.09122807017543855,0.9333333333333333,0.9975210708973723,0.8333333333333334,0.0625,0.125,0.0625,0.20833333333333334,0.0002479543763947434,0.5,0.6666666666666666,0.9590096737170027
A27,0.20467836257309946,0.9333333333333333,0.9975210708973723,0.8333333333333334,0.0625,0.125,0.0625,0.20833333333333334,0.0002479543763947434,0.5,0.6666666666666666,0.9622888998196426
A28,0.09122807017543855,0.9333333333333333,0.9970252850768468,0.8333333333333334,0.0625,0.125,0.0625,0.20833333333333334,0.0004959087527894868,0.5,0.6666666666666666,0.9196589604853255
A29,0.7836257309941521,0.6,0.9970252850768468,0.3333333333333333,0.0625,0.0625,0.03125,0.3333333333333333,0.0004959087527894868,0.5,0.6666666666666666,0.9639285128709625
A30,0.14619883040935677,0.9333333333333333,0.9970252850768468,0.8333333333333334,0.0625,0.125,0.0625,0.20833333333333334,0.0004959087527894868,0.5,0.6666666666666666,0.9672077389736022
A31,0.45029239766081874,0.7333333333333334,0.9970252850768468,0.5833333333333334,0.0625,0.0625,0.0625,0.20833333333333334,0.0004959087527894868,0.5,0.6666666666666666,0.9573700606656829
A32,0.4736842105263158,1.0,0.9970252850768468,0.5833333333333334,0.0625,0.0625,0.0625,0.20833333333333334,0.0004959087527894868,0.5,0.6666666666666666,0.9836038694868011
A33,0.8175438596491228,0.6666666666666667,0.9995042141794744,0.4166666666666667,0.5,0.125,0.125,0.5416666666666666,0.001239771881973717,1.0,0.6666666666666666,0.9672077389736022
A34,0.8093567251461988,0.6666666666666667,0.9995042141794744,0.4166666666666667,0.5,0.125,0.125,0.3333333333333333,0.001239771881973717,1.0,0.6666666666666666,0.9868830955894409
A35,0.8362573099415205,0.7333333333333334,0.999008428358949,0.4166666666666667,0.5,0.125,0.125,0.5416666666666666,0.001239771881973717,1.0,0.6666666666666666,0.9590096737170027
A36,0.8269005847953217,0.6666666666666667,0.9995042141794744,0.4166666666666667,0.0625,0.0625,0.0625,0.3333333333333333,0.001239771881973717,1.0,0.6666666666666666,0.9901623216920806
